# 6-SEVEN meme text.  Format:  field,text     (text may contain commas/spaces)
# Fields: tagline, location, cashier, snack, tendered, change, footer, thankyou
# One option per line. Edit freely. Themes: games / furry / nerd fandom.

tagline,YOUR HOMETOWN-ISH CONVENIENCE STORE
tagline,NOW WITH 30% MORE LORE
tagline,PRESS F TO PAY RESPECTS (NOT MONEY)
tagline,100% ORGANIC * 200% FERAL
tagline,OPEN SOURCE SNACKS SINCE 2006
tagline,NO MICROTRANSACTIONS * ALL SNACKS FREE
tagline,POWERED BY VIBES AND CAFFEINE
tagline,CANONICALLY THE BEST STORE
tagline,YOUR LOCAL RESPAWN POINT
tagline,SNACKS SO GOOD THEY'RE NON-EUCLIDEAN

location,MAGStock * Lot 67 * Open 24/7-ish
location,MAGStock * Server us-east-67
location,MAGStock * Biome: Convenience
location,MAGStock * The Nest * Lot 67
location,MAGStock * Floor B67 * No Clipping
location,MAGStock * Spawn Point * Lot 67

cashier,TRUSTWORTHY TEEN
cashier,LVL 99 CATBOY
cashier,NPC #0067
cashier,YOUR FRIENDLY DUNGEON MASTER
cashier,A SUSPICIOUS PROTOGEN
cashier,GAMER (SLEEP DEPRIVED)
cashier,DEFINITELY NOT 3 RACCOONS
cashier,A VERY GOOD BOY
cashier,SHOPKEEP.EXE
cashier,xX_Sn4ckL0rd_Xx

snack,FUNYUNS
snack,BAWLS ENERGY
snack,MTN DEW GAME FUEL
snack,FLAMIN' HOT CHEETOS
snack,POCKY STICKS
snack,ONIGIRI (CONVENIENCE)
snack,MONSTER ULTRA PARADISE
snack,BLIND BAG (1/200 RARE)
snack,SPICY RAMEN +10
snack,GUMMY WORMS (SENTIENT)
snack,SNACK OF HOLDING +1
snack,ANCIENT TAQUITO
snack,GAS STATION SUSHI (SAVE FILE)
snack,PAW-SHAPED COOKIE
snack,CHICKEN TENDIES (4 PC)
snack,SLIM JIM OF DESTINY
snack,BLUE RASPBERRY ELIXIR
snack,DORITOS COOL RANCH DLC
snack,RING POP (LEGENDARY)
snack,CRITICAL HIT JERKY

tendered,YOUR DIGNITY
tendered,1 (ONE) HEADPAT
tendered,47 GOLD + A RUSTY SPOON
tendered,YOUR LAST BRAINCELL
tendered,EXPOSURE
tendered,A FIRM HANDSHAKE
tendered,12 HUGS
tendered,YOUR STEAM LIBRARY
tendered,EMOTIONAL DAMAGE
tendered,ONE (1) NFT (DECLINED)
tendered,BELLY RUBS
tendered,67 ROBUX

change,A NEW PERSPECTIVE
change,RESPECT +10
change,ABSOLUTELY NOTHING
change,A SENSE OF DREAD
change,67 CENTS OF WISDOM
change,ENLIGHTENMENT
change,A SINGLE (1) BOOP
change,CHARACTER DEVELOPMENT
change,XP TOWARD NEXT LEVEL
change,A CONFUSED HEAD-TILT

footer,NO REFUNDS. NO EXCEPTIONS.
footer,YOUR MONEY IS NO GOOD HERE
footer,SNACKS ARE FREE. VIBES ARE PRICELESS.
footer,TELL NO ONE
footer,THIS RECEIPT IS NON-CANON
footer,ACHIEVEMENT UNLOCKED: FREE SNACK
footer,GIT GUD GET SNACKS
footer,OWO WHATS THIS? FREE FOOD
footer,TOUCH GRASS (AFTER THIS SNACK)
footer,STAY HYDRATED GAMER

thankyou,THANK YOU * NO REFUNDS
thankyou,GG * THANKS FOR PLAYING
thankyou,*BOOP* COME AGAIN
thankyou,QUEST COMPLETE * +1 SNACK
thankyou,STAY FERAL * NO REFUNDS
thankyou,UWU SEE YOU SOON
